vocabulary,varient_of,pronounication,meaning,language,ethnicity,nationality,religion,gender,sexual_orientation,disability,class,archaic,offensiveness,num_revision,num_variants,variants,num_citing,last_citing,num_citations
blockhead,{},{},"In Australia, a person of Macedonian descent.",eng,0,1,0,0,0,0,0,0,0,0,0,{},0,{},0
bludger,{},{},[1] A shiftless or unemployed person. [2] A pimp.,eng,0,0,0,0,0,0,1,0,0,1,1,dole bludger,3147,5/13/17 21:11,1
bluegum,{},{},An African-American perceived as being lazy and who refuses to work.,eng,1,0,0,0,0,0,0,0,0,0,0,{},134,5/9/17 14:54,0
bog hopper,Bog Irish,{},A person of common or low class Irish ancestry.,eng,0,1,0,0,0,0,1,0,0,1,0,{},10,12/30/15 16:45,0
Bog Irish,{},{},A person of common or low class Irish ancestry.,eng,0,1,0,0,0,0,1,0,0,0,3,bog hopper; bog jumper; bog trotter,103,4/2/17 15:49,0
bog jumper,Bog Irish,{},A person of common or low class Irish ancestry.,eng,0,1,0,0,0,0,1,0,0,1,0,{},5,3/28/17 21:25,0
bog trotter,Bog Irish,{},A person of common or low class Irish ancestry.,eng,0,1,0,0,0,0,1,0,0,0,0,{},217,5/14/17 0:07,0
bogan,{},{},"[1] A male Native American. [2] In Australia or New Zealand, white trash or a redneck.",eng,1,1,0,0,0,0,1,0,0.1,1,0,{},2434,5/14/17 4:25,1
bong,boong,{},"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
boo,jigaboo,{},"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",eng,1,0,0,0,0,0,0,0,0,1,0,{},1,6/5/13 0:10,0
boojie,{},boo-jee,"[1] A middle-class American, derived from bourgeois [2] Allegedly also a slur for Indians",eng,1,0,0,0,0,0,1,1,0,1,0,{},0,{},1
book book,{},{},"In Hawaii, denotes a Filipino, from the alleged sound of Filipino language.",eng,1,1,0,0,0,0,0,0,0,0,1,buk buk,0,{},0
boon,booner,{},"Canberra word for white trash or redneck, sometimes shortened to boon",eng,0,1,0,0,0,0,1,0,0,1,0,{},0,{},0
booner,{},{},"Canberra word for white trash or redneck, sometimes shortened to boon",eng,0,1,0,0,0,0,1,0,0,1,1,boon,224,5/15/17 3:05,1
boong,{},{},"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.",eng,1,0,0,0,0,0,0,0,0,0,5,bong; bung; bunga; boonga; boonie,32,10/9/16 15:02,0
boonga,boong,{},"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
boonie,boong,{},"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.",eng,1,0,0,0,0,0,0,0,0,0,0,{},181,5/8/17 2:13,0
border bunny,wetback,{},"A person of Latino descent, particularly a Mexican migrant laborer.",eng,1,0,0,0,0,0,0,0,0,0,0,{},87,5/12/17 12:19,0
border hopper,wetback,{},"A person of Latino descent, particularly a Mexican migrant laborer.",eng,1,0,0,0,0,0,0,0,0,0,0,{},1117,5/11/17 19:53,0
border jumper,wetback,{},"A person of Latino descent, particularly a Mexican migrant laborer.",eng,1,0,0,0,0,0,0,0,0,0,0,{},1278,5/11/17 10:25,0
border nigger,wetback,{},"A person of Latino descent, particularly a Mexican migrant laborer.",eng,1,0,0,0,0,0,0,0,1,0,0,{},11,4/7/17 17:14,0
Bounty bar,{},{},"White on the inside and brown on the outside, like a Bounty chocolate bar. As with wigger, this is both a subcultural and ethnic slur. The immediate target is criticized for having the cultural values of a different ethnic group, with the implication that the ethnic group in question is bad or inferior. Coconut and Oreo are used in the same way.",eng,1,0,0,0,0,0,0,0,0.66,0,0,{},0,{},0
boxhead,{},{},A person of German descent.,eng,0,1,0,0,0,0,0,0,0.89,0,0,{},0,{},0
brass ankle,{},{},"[1] A person of mixed Caucasian, Native American, and African ancestry in Southern Carolina [2] A person of African ancestry attempting to pass as Caucasian",eng,1,0,0,0,0,0,0,0,0,1,0,{},3,1/1/16 13:17,0
brownie,{},{},"[1] A person of mixed white and black ancestry; a mulatto. [2] A young, brown-skinned person 1940s-1950s.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
bubble,{},{},A person of Greek descent. 'Bubble and squeak' is Cockney slang for Greek.,eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
buck,{},{},[1] A male Native American. [2] A male black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
buckethead,{},{},A person of Korean descent.,eng,1,1,0,0,0,0,0,0,0,0,0,{},1,4/8/13 0:00,0
buckra,{},{},"African-Americans slur for Caucasians in the Southeast United States , particularly Caucasians in a position of authority, possibly from Efik word 'mbakara' meaning 'master'",eng,1,0,0,0,0,0,0,0,0,1,0,{},46,5/13/17 5:43,1
Buckwheat,{},{},"A black person, from the character on The Little Rascals.",eng,1,0,0,0,0,0,0,0,0,0,0,{},179,5/2/17 12:12,0
Buddhahead,{},{},An Asian. Also used by mainland Japanese Americans to refer to Hawaiian Japanese Americans since World War II.,eng,1,0,0,0,0,0,0,0,0,0,0,{},5,3/20/17 0:09,0
buffie,{},{},"[1] A black person. [2] a young, brown-skinned person 1940s-1950s",eng,1,0,0,0,0,0,0,1,0,0,0,{},0,{},0
bug eater,{},{},An person of Asian descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
buk buk,book book,{},"In Hawaii, denotes a Filipino, from the alleged sound of Filipino language.",eng,1,1,0,0,0,0,0,0,0,1,0,{},2,9/8/16 15:04,0
bumblebee,{},{},A person of mixed black and Asian parentage.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
bung,boong,{},"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
bunga,boong,{},"[1] Australian aboriginal. Boong, pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand, a Pacific Islander.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
burrhead,{},{},A black person (referencing stereotypical hair type).,eng,1,0,0,0,0,0,0,0,0,0,0,{},27,2/23/17 17:27,0
butterhead,{},{},[1] A person of African descent. [2] WWII slur for a Japanese person.,eng,1,1,0,0,0,0,0,0,0.75,1,0,{},0,{},0
cab nigger,{},{},"A person of Indian or Middle Eastern descent, based on the perceived surfeit of immigrants driving cabs in the United States.",eng,1,0,0,0,0,0,0,0,0.79,0,0,{},5,8/7/15 20:32,0
camel cowboy,camel jockey,{},Person of Middle Eastern descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},13,4/18/17 19:44,0
camel fucker,{},{},[1] An Arab. [2] A Muslim.,eng,1,1,1,0,0,0,0,0,0.68,1,0,{},994,5/14/17 10:55,0
camel humper,camel jockey,{},Person of Middle Eastern descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},251,5/9/17 19:59,0
camel jacker,camel jockey,{},Person of Middle Eastern descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},2,12/18/13 9:53,0
camel jockey,{},{},Person of Middle Eastern descent.,eng,1,0,0,0,0,0,0,0,0,0,3,camel cowboy; camel humper; camel jacker,2683,5/13/17 15:07,0
can eater,{},{},"An Austrialian, from the perception that Australians drink a lot of canned beer.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
carpet pilot,{},{},"A person of Arabic descent, from Aladdin and his magic carpet.",eng,1,0,0,0,0,0,0,0,0,0,0,{},28,12/19/16 16:48,0
carrot snapper,{},{},"A Mormon, presumably inspired by agriculture in Utah",eng,0,0,1,0,0,0,1,0,0,1,0,{},6,3/30/16 12:22,0
Caublasian,{},{},"A person of mixed Caucasian, African and Asian heritage",eng,1,0,0,0,0,0,0,0,0,1,0,{},21,3/22/17 1:54,0
cave nigger,{},{},A person of Middle Eastern descent,eng,1,0,0,0,0,0,1,0,0,1,0,{},7,5/2/17 12:42,0
celestial,{},{},"In the late 1900s, Chinese people in Australia were often referred to as 'Celestials', a reference to their coming from the 'Celestial Empire' (i.e. China)",eng,1,1,0,0,0,0,0,1,0,0,0,{},0,{},0
Charlie,{},{},"[1] To African-Americans of the 1960s-1970s, white people as a reified collective oppressor group, similar to The Man or The System. [2] Non-pejorative slang term used by American troops as a shorthand term for Vietnamese guerrillas. Derived from the verbal shorthand for 'Victor Charlie', the NATO phonetic alphabet for VC, the abbreviation for Viet Cong. Other references to the Viet Cong included 'Mr. Charles' as a rueful admission of the skill at asymmetric warfare.",eng,1,1,0,0,0,0,0,1,0,0,0,{},0,{},0
charva,{},{},A disreputable and/or working class person,eng,0,0,0,0,0,0,1,0,0,1,1,charver,869,5/15/17 8:34,1
charver,charva,{},A disreputable and/or working class person,eng,0,0,0,0,0,0,1,0,0,1,0,{},1257,5/15/17 15:23,1
chav,{},{},"In the UK, an unsophisticated or working class person with a predilection for ostentatious sportswear and jewellery",eng,0,0,0,0,0,0,1,0,0.03,2,0,{},937,5/10/17 8:11,1
chee chee,{},{},"An Anglo-Indian or Eurasian half-caste [probably from Hindi chi-chi fie!, literally, dirt] Also can refer to English spoken with a Southwest Asian accent.",eng,1,0,0,0,0,0,0,0,0,0,1,chi chi,0,{},0
cheese eating surrender monkey,{},{},"A French person, from the defeat of the French against the German in 1940, and the huge variety of cheeses originating from France. Gained popularity after the term was used on an episode of The Simpsons and was subsequently adopted by right-wing pundits. Rarely used today.",eng,0,1,0,0,0,0,0,1,0,1,1,surrender monkey,0,{},1
chi chi,chee chee,{},"An Anglo-Indian or Eurasian half-caste [probably from Hindi chi-chi fie!, literally, dirt] Also can refer to English spoken with a Southwest Asian accent.",eng,1,0,0,0,0,0,0,0,0,0,0,{},1,2/2/17 19:19,0
chigger,{},{},[1] A Chinese person trying to act like a black person. [2] A person of mixed black and Asian parentage.,eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
chili shitter,{},{},A person of Hispanic descent.,eng,1,0,0,0,0,0,0,0,0,0,0,{},9,4/1/17 22:18,0
Chinaman,{},{},"Found offensive, although it is a translation of the Chinese. It was used in the gold rush and railway-construction eras in western North America, when discrimination against Chinese was common.",eng,0,1,0,0,0,0,0,1,0.26,0,0,{},2891,5/14/17 15:16,0
Chinese wetback,{},{},"A Filipino, particularly having a Mexican and Chinese heritage.",eng,1,1,0,0,0,0,0,0,0,0,0,{},1,10/22/13 19:35,0
ching chong,{},{},"A person of perceived Chinese or East Asian descent. An offensive term that has raised considerable controversy, for example when used by comedian Rosie O'Donnell.",eng,1,0,0,0,0,0,0,0,0.51,0,0,{},1753,5/14/17 15:57,0
chinig,{},{},A person of mixed black and Chinese parentage.,eng,1,1,0,0,0,0,0,0,0,0,0,{},1,3/8/16 4:52,0
chink,{},{},"A person of Chinese descent. Considered extremely derogatory, exemplified by a US school that had to stop using the term as a sports mascot in 1980.",eng,0,1,0,0,0,0,0,0,0.66,0,0,{},331,5/9/17 0:26,0
chink a billy,{},{},A rural person of Chinese descent.,eng,1,1,0,0,0,0,1,0,0,0,0,{},0,{},0
chonky,{},{},A person of Asian descent with perceived Caucasian mannerisms. Concatenation of Chinese and honky.,eng,1,1,0,0,0,0,0,0,0,0,1,chunky,316,4/10/17 4:09,0
Christ killer,{},{},"A Jew, an allusion to Jewish deicide. On occasion it can also be used as an anti-Italian slur on the basis the Romans, as ancestors of the present-day Italians, executed Jesus.",eng,1,0,1,0,0,0,0,0,0.86,0,0,{},247,5/13/17 13:17,0
chug,{},{},"[1] An individual of Canadian aboriginal descent. [2] A Native American, from assumed likelihood of alcoholism.",eng,1,0,0,0,0,0,0,0,0,0,0,{},1,4/13/13 0:00,0
chunky,chonky,{},A person of Asian descent with perceived Caucasian mannerisms. Concatenation of Chinese and honky.,eng,1,1,0,0,0,0,0,0,0,0,0,{},0,{},0
clam,clamhead,{},"A Scientologist, referring to a passage about clam engrams in L. Ron Hubbard's 1952 book, What To Audit, later renamed The History Of Man",eng,0,0,1,0,0,0,0,0,0,0,0,{},0,{},0
clamhead,{},{},"A Scientologist, referring to a passage about clam engrams in L. Ron Hubbard's 1952 book, What To Audit, later renamed The History Of Man",eng,0,0,1,0,0,0,0,0,0,0,1,clam,0,{},0
closet fag,{},/Ã‹ÂˆklÃƒÂ_zÃ‰Â™t fag/,A person accused of being an homosexual,eng,0,0,0,0,1,0,0,0,0,1,1,closetfag,17,5/10/17 11:20,0
closetfag,closet fag,/Ã‹ÂˆklÃƒÂ_zÃ‰Â™t fag/,A person accused of being an homosexual,eng,0,0,0,0,1,0,0,0,0,1,0,{},0,{},0
cocoa,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,1,Cocoa Puff,0,{},0
Cocoa Puff,cocoa,{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
coconut,{},{},"[1] A person of Hispanic descent who's accused of acting white. [2] In, New Zealand/Australia, a Pacific Islander. Named after the coconut, the nut from the coconut palm. [3], In the UK, a black person who exhibits behaviour associated with caucasians. [4] In the USA, a black person trying to be 'white'. [5] In South Africa, a black person who acts white. [6], In Canada, an individual of South Asian (typically Dravidian) descent, who is accused of trying to be 'white'.",eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
colored,{},{},A black person.,eng,1,0,0,0,0,0,0,0,0.93,0,1,coloured,0,{},0
coloured,colored,{},A black person.,eng,1,0,0,0,0,0,0,0,0,0,0,{},0,{},0
conchuda,cunt,{},"[1] Comparing someone (usually Male) to female genitalia. A variant of ""pussy"", but generally regarded as far more offensive. [2] A despicable man (Australian English). Has a wide variety of usages and meaning across the English world. For instance, in Commonwealth Countries such as Britain, Australia or New Zealand it can be, and often is, used to refer positively to someone, while in Canada it is widely seen to be highly offensive.",eng,0,0,0,1,0,0,0,0,0.96,1,0,{},3,5/8/17 0:39,1
conspiracy theorist,{},{},One who questions state doctrine,eng,0,0,0,0,0,0,1,0,0,1,0,{},1,4/6/13 0:00,1
coolie,{},{},"[1] In North America, unskilled Asian labor, usually Chinese (originally used in 19th-century for Chinese railroad labor). Possibly from Hindi kuli, day laborer. [2] Racial epithet for Indo-Caribbean people, especially in Guyana, Trinidad and Tobago and South African Indians.",eng,1,0,0,0,0,0,0,0,0,0,0,{},262,5/14/17 14:25,0
coon,{},{},"A black person. Possibly from Portuguese barracco, a building constructed to hold slaves for sale (1837). Popularized by the song 'Zip Coon', played at Minstrel shows in the 1830s.",eng,1,0,0,0,0,0,0,0,0.5,0,0,{},829,5/13/17 14:24,0
coon ass,{},{},A person of Cajun ethnicity.,eng,1,0,0,0,0,0,0,0,0.44,0,0,{},2737,5/13/17 12:29,0
cotton picker,{},{},Originates from pre-Civil War US. Refers to the slaves who picked cotton all day at the plantations.,eng,1,0,0,0,0,0,0,1,0,0,0,{},3871,5/12/17 21:38,0
cow kisser,{},{},"A person of Indian descent, from the worship of cows.",eng,1,1,0,0,0,0,0,0,0,0,0,{},7,3/25/17 5:32,0
cowboy killer,{},{},A Native American.,eng,1,0,0,0,0,0,0,0,0,0,0,{},461,5/7/17 3:43,0
cracker,{},{},"A poor Appalachian or poor Southerner, a white person, first used in the 19th century.",eng,1,0,0,0,0,0,1,0,0.65,0,0,{},1015,5/13/17 13:38,0
cripple,{},{},A disabled person.,eng,0,0,0,0,0,1,0,0,0.33,0,0,{},5193,5/13/17 13:09,0
crow,{},{},"A black person, particularly a black woman.",eng,1,0,0,0,0,0,0,1,0.03,0,0,{},0,{},0
cuck,Cuckservative,/'kÃ‰Â™ksÃ‰Â™rvÃ‰Â™div/,"[1] Term of abuse formed as a portmanteau of the archaic ""cuckold"" (A man unknowlingly married to an unfaithful wife) and the political sense of ""conservative"", used especially by white nationalists and alt-right supporters.  Originated on websites such as 4chan (particularly /pol/, the right-wing message board) and gaining mainstream attention shortly before the 2016 US presidential election.",eng,1,1,0,0,0,0,0,0,0,1,0,{},57,5/14/17 0:38,0
Cuckservative,{},/'kÃ‰Â™ksÃ‰Â™rvÃ‰Â™div/,"[1] Term of abuse formed as a portmanteau of the archaic ""cuckold"" (A man unknowlingly married to an unfaithful wife) and the political sense of ""conservative"", used especially by white nationalists and alt-right supporters.  Originated on websites such as 4chan (particularly /pol/, the right-wing message board) and gaining mainstream attention shortly before the 2016 US presidential election.",eng,1,1,0,0,0,0,0,0,0.34,1,1,cuck,17,5/13/17 16:52,1
cunt,{},{},"[1] Comparing someone (usually Male) to female genitalia. A variant of ""pussy"", but generally regarded as far more offensive. [2] A despicable man (Australian English). Has a wide variety of usages and meaning across the English world. For instance, in Commonwealth Countries such as Britain, Australia or New Zealand it can be, and often is, used to refer positively to someone, while in Canada it is widely seen to be highly offensive.",eng,0,0,0,1,0,0,0,0,0.56,3,1,conchuda,5493,5/13/17 12:49,2
curry muncher,{},{},A person of East Indian origin.,eng,1,0,0,0,0,0,0,0,0,0,2,curry slurper; curry stinker,2667,5/11/17 16:11,0
curry slurper,curry muncher,{},A person of East Indian origin.,eng,1,0,0,0,0,0,0,0,0.5,0,0,{},6,8/20/16 16:25,0
curry stinker,curry muncher,{},A person of East Indian origin.,eng,1,0,0,0,0,0,0,0,0,0,0,{},1,6/21/13 12:05,0
Cushi,Cushite,{},"[1] A person of east African descent, from Cush (modern day Ethiopia or Sudan). [2] Any black African.",eng,1,0,0,0,0,0,0,0,0,2,0,{},155,5/1/17 17:58,1
Cushite,{},{},"[1] A person of east African descent, from Cush (modern day Ethiopia or Sudan). [2] Any black African.",eng,1,0,0,0,0,0,0,0,0,2,3,Cushi; Kushi; Kushite,1090,5/11/17 16:25,1
dago,{},{},"An Italian, Spaniard or Portuguese person, possibly derived from the Spanish name, 'Diego,' a corruption of the title Hidalgo (member of the Gentry, from Spanish > hijo de algo 'son of someone [important]' or the Sardinian language first person pronoun, dego)t.",eng,1,0,0,0,0,0,0,0,0.38,0,1,dego,44,5/7/17 20:17,0
darkey,darky,{},"A black person. The term may cause offense. though Randall Kennedy's Nigger: The Strange Career of a Troublesome Word notes that some judges have considered 'darky' a 'term of endearment.' In South Africa, it can be considered offensive (depending on the context), but is commonly used among black people to refer to other black people in a non-derogatory way.",eng,1,0,0,0,0,0,0,0,0,0,0,{},178,5/12/17 22:33,0
darkie,darky,{},"A black person. The term may cause offense. though Randall Kennedy's Nigger: The Strange Career of a Troublesome Word notes that some judges have considered 'darky' a 'term of endearment.' In South Africa, it can be considered offensive (depending on the context), but is commonly used among black people to refer to other black people in a non-derogatory way.",eng,1,0,0,0,0,0,0,0,0,0,0,{},3214,5/13/17 9:04,0
darky,{},{},"A black person. The term may cause offense. though Randall Kennedy's Nigger: The Strange Career of a Troublesome Word notes that some judges have considered 'darky' a 'term of endearment.' In South Africa, it can be considered offensive (depending on the context), but is commonly used among black people to refer to other black people in a non-derogatory way.",eng,1,0,0,0,0,0,0,0,0,0,2,darkey; darkie,898,5/13/17 10:14,0
